nid,n_nid_1,n_nid_2,n_nid_3,n_nid_4,n_nid_5,n_nid_6,n_relation_1,n_relation_2,n_relation_3,n_relation_4,n_relation_5,n_relation_6,age,sex
305072,305021.0,305023.0,305042.0,,,,1.0,10.0,10.0,,,,76.0,1.0
305022,305023.0,305085.0,305033.0,305021.0,,,1.0,10.0,10.0,10.0,,,70.0,2.0
305023,305022.0,,,,,,1.0,,,,,,75.0,1.0
305025,305026.0,305047.0,,,,,1.0,11.0,,,,,74.0,1.0
305026,305025.0,305030.0,305004.0,305021.0,305005.0,305098.0,1.0,9.0,10.0,10.0,10.0,10.0,68.0,2.0
305070,305073.0,,,,,,1.0,,,,,,63.0,1.0
305073,305070.0,305013.0,305037.0,402150.0,,,1.0,9.0,10.0,5.0,,,62.0,2.0
305074,305027.0,,,,,,1.0,,,,,,77.0,2.0
305027,305074.0,305072.0,305003.0,305028.0,305094.0,305008.0,1.0,10.0,10.0,10.0,10.0,10.0,79.0,1.0
305028,,400365.0,403041.0,403033.0,403032.0,403036.0,,5.0,5.0,5.0,5.0,5.0,77.0,1.0
305029,305030.0,,,,,,1.0,,,,,,79.0,1.0
305030,305029.0,305004.0,305026.0,,,,1.0,11.0,11.0,,,,71.0,2.0
305031,,305088.0,305083.0,,,,,5.0,6.0,,,,83.0,2.0
305075,305032.0,403037.0,305076.0,305070.0,403039.0,305071.0,1.0,5.0,10.0,10.0,5.0,10.0,64.0,1.0
305032,305075.0,305013.0,305037.0,305060.0,305014.0,305083.0,1.0,10.0,10.0,10.0,10.0,10.0,61.0,2.0
305033,,305013.0,305037.0,305010.0,,,,11.0,11.0,9.0,,,74.0,2.0
305053,305092.0,403257.0,403077.0,403084.0,403066.0,403078.0,1.0,11.0,11.0,11.0,11.0,5.0,62.0,1.0
305076,305036.0,305075.0,305070.0,305009.0,305071.0,305072.0,1.0,10.0,10.0,10.0,10.0,10.0,64.0,1.0
305036,305076.0,400372.0,400373.0,,,,1.0,5.0,5.0,,,,62.0,2.0
305037,,305032.0,305013.0,305007.0,305093.0,305096.0,,10.0,9.0,9.0,10.0,9.0,65.0,2.0
305038,305039.0,305042.0,305072.0,301025.0,305027.0,403118.0,1.0,10.0,9.0,11.0,11.0,11.0,77.0,1.0
305039,305038.0,400378.0,,,,,1.0,5.0,,,,,75.0,2.0
305040,305041.0,,,,,,1.0,,,,,,83.0,1.0
305041,305040.0,,,,,,1.0,,,,,,79.0,2.0
305042,305043.0,305072.0,305038.0,305027.0,305025.0,305076.0,1.0,10.0,10.0,10.0,10.0,10.0,75.0,1.0
305043,305042.0,305037.0,305013.0,,,,1.0,10.0,10.0,,,,72.0,2.0
305044,305045.0,309067.0,403144.0,402153.0,403181.0,403171.0,1.0,11.0,11.0,8.0,11.0,11.0,67.0,2.0
305045,305044.0,403278.0,403244.0,403025.0,,,1.0,11.0,11.0,11.0,,,65.0,1.0
305055,,305091.0,,,,,,5.0,,,,,66.0,1.0
305046,305047.0,400392.0,,,,,1.0,11.0,,,,,70.0,2.0
305047,305046.0,302005.0,403172.0,305029.0,305025.0,,1.0,12.0,12.0,10.0,10.0,,72.0,1.0
305048,305049.0,400394.0,400396.0,400395.0,403283.0,403114.0,1.0,8.0,8.0,8.0,9.0,9.0,64.0,2.0
305049,305048.0,400394.0,400395.0,400396.0,,,1.0,9.0,9.0,9.0,,,71.0,1.0
305052,,305056.0,,,,,,9.0,,,,,87.0,2.0
305056,,305052.0,,,,,,11.0,,,,,86.0,2.0
306001,306002.0,,,,,,1.0,,,,,,65.0,2.0
306002,306001.0,306004.0,306003.0,306023.0,306043.0,306009.0,1.0,11.0,11.0,11.0,11.0,11.0,81.0,1.0
306003,306004.0,306133.0,402158.0,306147.0,403056.0,,1.0,5.0,5.0,6.0,6.0,,63.0,2.0
306004,306003.0,306051.0,306133.0,306147.0,402158.0,403056.0,1.0,9.0,5.0,6.0,5.0,6.0,66.0,1.0
306005,306006.0,307101.0,306073.0,,,,1.0,10.0,10.0,,,,66.0,2.0
306006,306005.0,,,,,,1.0,,,,,,71.0,1.0
306009,,306060.0,306149.0,,,,,9.0,9.0,,,,85.0,2.0
306010,,400422.0,400424.0,403045.0,,,,5.0,5.0,6.0,,,66.0,2.0
306012,,,,,,,,,,,,,76.0,2.0
306013,306014.0,307119.0,,,,,1.0,10.0,,,,,73.0,1.0
306014,306013.0,402162.0,402164.0,403252.0,402163.0,403047.0,1.0,11.0,11.0,11.0,11.0,11.0,69.0,2.0
306015,306016.0,,,,,,1.0,,,,,,64.0,2.0
306016,306015.0,,,,,,1.0,,,,,,71.0,1.0
306097,,,,,,,,,,,,,93.0,2.0
306019,,306140.0,306020.0,306070.0,,,,,,,,,84.0,2.0
306020,,306153.0,,,,,,10.0,,,,,85.0,2.0
306021,306022.0,306056.0,,,,,1.0,10.0,,,,,68.0,2.0
306022,306021.0,306016.0,306143.0,306055.0,306145.0,306004.0,1.0,10.0,10.0,10.0,10.0,10.0,70.0,1.0
306023,,400435.0,,,,,,5.0,,,,,76.0,2.0
306099,306023.0,403247.0,403096.0,403264.0,403188.0,,1.0,11.0,11.0,11.0,11.0,,78.0,1.0
306024,,,,,,,,,,,,,85.0,2.0
306025,306026.0,306030.0,306078.0,,,,1.0,10.0,10.0,,,,72.0,2.0
306026,306025.0,306081.0,306053.0,,,,1.0,10.0,10.0,,,,73.0,1.0
306027,,306118.0,,,,,,5.0,,,,,76.0,2.0
306028,306029.0,,,,,,1.0,,,,,,67.0,1.0
306030,306102.0,306031.0,,,,,1.0,9.0,,,,,69.0,2.0
306102,306030.0,,,,,,1.0,,,,,,75.0,1.0
306031,,306090.0,306064.0,306087.0,306129.0,,,9.0,9.0,9.0,10.0,,73.0,2.0
306033,,,,,,,,,,,,,75.0,2.0
306034,,306097.0,,,,,,10.0,,,,,93.0,2.0
306035,,306071.0,306108.0,306080.0,,,,10.0,9.0,10.0,,,73.0,2.0
306036,306037.0,,,,,,1.0,,,,,,75.0,1.0
306037,306036.0,403123.0,,,,,1.0,5.0,,,,,67.0,2.0
306103,306038.0,,,,,,1.0,,,,,,72.0,1.0
306104,,,,,,,,,,,,,76.0,2.0
306041,306042.0,306105.0,306054.0,,,,1.0,10.0,10.0,,,,73.0,2.0
306105,,,,,,,,,,,,,79.0,2.0
306042,306041.0,403277.0,402332.0,402331.0,403275.0,,1.0,5.0,5.0,5.0,5.0,,77.0,1.0
306043,306044.0,306105.0,306031.0,306064.0,306030.0,306060.0,1.0,9.0,10.0,10.0,10.0,10.0,63.0,2.0
306044,306043.0,306152.0,403161.0,306065.0,304020.0,,1.0,12.0,11.0,11.0,10.0,,66.0,1.0
306045,306046.0,,,,,,1.0,,,,,,74.0,2.0
306046,306045.0,,,,,,1.0,,,,,,77.0,1.0
306047,306048.0,306082.0,306078.0,306092.0,306054.0,306052.0,1.0,9.0,10.0,10.0,10.0,9.0,72.0,2.0
306048,306047.0,402336.0,402335.0,400017.0,402334.0,306092.0,1.0,5.0,5.0,5.0,5.0,9.0,79.0,1.0
306049,306050.0,306081.0,306079.0,,,,1.0,10.0,10.0,,,,72.0,1.0
306050,306049.0,306056.0,306082.0,306021.0,,,1.0,9.0,10.0,10.0,,,71.0,2.0
306051,306052.0,308040.0,308043.0,306079.0,306061.0,306048.0,1.0,11.0,11.0,10.0,10.0,9.0,77.0,1.0
306052,306051.0,400475.0,403218.0,400698.0,402347.0,403155.0,1.0,5.0,5.0,5.0,5.0,5.0,74.0,2.0
306144,306129.0,403159.0,403156.0,403226.0,403017.0,306065.0,1.0,5.0,5.0,5.0,9.0,11.0,66.0,1.0
306053,306054.0,306049.0,306081.0,,,,1.0,8.0,9.0,,,,75.0,1.0
306054,306053.0,402338.0,403225.0,403224.0,,,1.0,5.0,5.0,5.0,,,74.0,2.0
306055,306056.0,306051.0,,,,,1.0,8.0,,,,,74.0,1.0
306056,306055.0,306050.0,306082.0,306021.0,,,1.0,11.0,10.0,11.0,,,70.0,2.0
306058,306059.0,,,,,,1.0,,,,,,75.0,2.0
306059,306058.0,,,,,,1.0,,,,,,80.0,1.0
306060,306061.0,306030.0,306031.0,306041.0,306047.0,306157.0,1.0,11.0,11.0,11.0,11.0,11.0,76.0,2.0
306061,306060.0,402340.0,402341.0,,,,1.0,5.0,5.0,,,,78.0,1.0
306062,,,,,,,,,,,,,71.0,2.0
306064,,306027.0,306020.0,306031.0,,,,10.0,10.0,10.0,,,81.0,2.0
306065,306066.0,400487.0,400486.0,,,,1.0,5.0,5.0,,,,66.0,1.0
306107,,400490.0,403105.0,403106.0,403107.0,,,5.0,5.0,5.0,5.0,,83.0,2.0
306108,,400492.0,400494.0,400495.0,400493.0,,,5.0,5.0,5.0,5.0,,72.0,2.0
306068,,,,,,,,,,,,,87.0,2.0
306069,,306047.0,306141.0,306139.0,,,,9.0,9.0,9.0,,,72.0,2.0
306070,,306019.0,306020.0,,,,,11.0,11.0,,,,88.0,2.0
306071,,,,,,,,,,,,,78.0,2.0
306073,,306005.0,306037.0,,,,,10.0,10.0,,,,71.0,2.0
306074,306075.0,306054.0,301035.0,310029.0,,,1.0,10.0,11.0,11.0,,,74.0,2.0
306075,306074.0,,,,,,1.0,,,,,,78.0,1.0
306076,306077.0,400502.0,400503.0,400504.0,400505.0,,1.0,5.0,5.0,5.0,5.0,,83.0,1.0
306077,306076.0,,,,,,1.0,,,,,,81.0,2.0
306109,,306154.0,,,,,,5.0,,,,,87.0,2.0
306078,,306047.0,306092.0,306058.0,,,,10.0,10.0,10.0,,,70.0,2.0
306079,306080.0,306055.0,306049.0,306042.0,,,1.0,11.0,11.0,11.0,,,74.0,1.0
306082,306081.0,306050.0,306087.0,,,,1.0,10.0,10.0,,,,61.0,2.0
306083,,403199.0,403198.0,403202.0,403201.0,,,5.0,5.0,5.0,5.0,,79.0,2.0
306084,,,,,,,,,,,,,78.0,1.0
306086,306087.0,403304.0,403323.0,403312.0,403322.0,,1.0,8.0,8.0,8.0,8.0,,70.0,1.0
306087,306086.0,,,,,,1.0,,,,,,66.0,2.0
306088,306089.0,400513.0,,,,,1.0,5.0,,,,,74.0,1.0
306089,306088.0,,,,,,1.0,,,,,,71.0,2.0
306090,,306115.0,,,,,,5.0,,,,,76.0,2.0
306092,,306142.0,306047.0,306145.0,,,,9.0,9.0,6.0,,,78.0,2.0
307001,307002.0,,,,,,1.0,,,,,,71.0,2.0
307002,307001.0,400521.0,,,,,1.0,11.0,,,,,72.0,1.0
307003,307005.0,403129.0,403126.0,403068.0,403113.0,,1.0,12.0,12.0,12.0,12.0,,64.0,2.0
307004,,400526.0,403044.0,,,,,5.0,6.0,,,,70.0,2.0
307005,307003.0,307068.0,,,,,1.0,11.0,,,,,69.0,1.0
307006,307007.0,307126.0,307067.0,307065.0,,,1.0,12.0,10.0,10.0,,,71.0,2.0
307089,,307061.0,307132.0,,,,,10.0,10.0,,,,74.0,1.0
307008,,,,,,,,,,,,,71.0,2.0
307009,307010.0,,,,,,1.0,,,,,,81.0,2.0
307010,307009.0,,,,,,1.0,,,,,,81.0,1.0
307090,,403302.0,,,,,,5.0,,,,,84.0,2.0
307092,,307004.0,307048.0,,,,,9.0,9.0,,,,73.0,2.0
307013,307014.0,,,,,,1.0,,,,,,80.0,1.0
307014,307013.0,307021.0,,,,,1.0,10.0,,,,,78.0,2.0
307015,307016.0,,,,,,1.0,,,,,,76.0,2.0
307016,307015.0,400530.0,307117.0,307056.0,302106.0,,1.0,8.0,9.0,9.0,11.0,,77.0,1.0
307017,307018.0,402178.0,402179.0,403069.0,403071.0,403213.0,1.0,11.0,11.0,11.0,11.0,11.0,64.0,2.0
307021,307056.0,403327.0,402352.0,403320.0,,,1.0,5.0,5.0,5.0,,,71.0,2.0
307023,307022.0,403239.0,403125.0,403241.0,403270.0,,1.0,12.0,12.0,12.0,12.0,,75.0,2.0
307024,307025.0,403348.0,403349.0,403350.0,,,1.0,5.0,11.0,11.0,,,67.0,2.0
307026,,400548.0,307021.0,307030.0,403303.0,,,5.0,10.0,10.0,5.0,,67.0,2.0
307028,,307058.0,307083.0,307082.0,307086.0,,,10.0,10.0,10.0,10.0,,72.0,2.0
307029,,403272.0,403108.0,307030.0,307031.0,,,10.0,10.0,5.0,9.0,,92.0,2.0
307030,307031.0,,,,,,1.0,,,,,,66.0,1.0
307031,307030.0,307083.0,307085.0,307071.0,403221.0,403331.0,1.0,11.0,11.0,10.0,11.0,11.0,59.0,2.0
307032,,307135.0,,,,,,10.0,,,,,72.0,2.0
307033,307034.0,402349.0,307048.0,,,,1.0,5.0,9.0,,,,78.0,2.0
307034,307033.0,305029.0,403253.0,403094.0,403001.0,403175.0,1.0,11.0,11.0,11.0,11.0,11.0,78.0,1.0
307035,307036.0,,,,,,1.0,,,,,,75.0,2.0
307036,307035.0,,,,,,1.0,,,,,,76.0,1.0
307037,307038.0,307002.0,307116.0,307036.0,307137.0,307042.0,1.0,10.0,10.0,10.0,10.0,10.0,72.0,1.0
307039,307040.0,307071.0,,,,,1.0,9.0,,,,,91.0,2.0
307040,307039.0,307013.0,307122.0,307127.0,,,1.0,9.0,5.0,9.0,,,90.0,1.0
307094,307043.0,307107.0,,,,,1.0,9.0,,,,,72.0,2.0
307043,307094.0,,,,,,1.0,,,,,,71.0,1.0
307044,307117.0,,,,,,1.0,,,,,,77.0,2.0
307117,307044.0,307059.0,307056.0,307016.0,307122.0,307115.0,1.0,8.0,9.0,9.0,9.0,9.0,78.0,1.0
307045,,307133.0,307121.0,,,,,5.0,6.0,,,,82.0,2.0
307046,307047.0,306138.0,307001.0,,,,1.0,11.0,10.0,,,,69.0,2.0
307047,307046.0,307049.0,307074.0,307137.0,307034.0,307120.0,1.0,9.0,9.0,9.0,9.0,9.0,76.0,1.0
307048,307049.0,307130.0,307128.0,307033.0,307129.0,,1.0,10.0,10.0,10.0,10.0,,70.0,2.0
307049,307048.0,307034.0,307120.0,307119.0,,,1.0,10.0,10.0,10.0,,,74.0,1.0
307051,,402189.0,400564.0,402188.0,,,,5.0,5.0,5.0,,,79.0,2.0
307052,307053.0,307123.0,,,,,1.0,5.0,,,,,78.0,2.0
307095,307054.0,400567.0,403067.0,403227.0,,,1.0,5.0,6.0,11.0,,,66.0,2.0
307054,307095.0,400567.0,403067.0,,,,1.0,5.0,6.0,,,,71.0,1.0
307055,,403328.0,403306.0,403318.0,403316.0,,,5.0,5.0,5.0,5.0,,79.0,2.0
307056,307021.0,402534.0,402352.0,403008.0,403142.0,402353.0,1.0,5.0,5.0,6.0,6.0,5.0,74.0,1.0
307057,,307071.0,,,,,,10.0,,,,,72.0,2.0
307058,307059.0,307083.0,307028.0,307055.0,307071.0,,1.0,9.0,10.0,9.0,9.0,,75.0,2.0
307059,307058.0,307056.0,307013.0,307118.0,307030.0,,1.0,9.0,10.0,9.0,9.0,,78.0,1.0
307060,307062.0,403297.0,,,,,1.0,6.0,,,,,85.0,2.0
307061,307063.0,305072.0,400572.0,400574.0,308036.0,403082.0,1.0,11.0,11.0,11.0,11.0,11.0,76.0,1.0
307062,307060.0,,,,,,1.0,,,,,,89.0,1.0
307063,307061.0,,,,,,1.0,,,,,,72.0,2.0
307096,,305014.0,,,,,,12.0,,,,,85.0,2.0
307064,307065.0,307005.0,307068.0,,,,1.0,,,,,,70.0,1.0
307065,307064.0,307067.0,307030.0,307031.0,307068.0,307005.0,1.0,10.0,10.0,10.0,10.0,10.0,66.0,2.0
307066,,,,,,,,,,,,,86.0,2.0
307067,307068.0,307065.0,,,,,1.0,11.0,,,,,66.0,2.0
307068,307067.0,307005.0,307064.0,,,,1.0,11.0,11.0,,,,68.0,1.0
307071,,307051.0,307039.0,,,,,10.0,10.0,,,,75.0,2.0
307073,307074.0,,,,,,1.0,,,,,,73.0,2.0
307074,307073.0,,,,,,1.0,,,,,,74.0,1.0
307077,307078.0,,,,,,1.0,,,,,,67.0,1.0
307078,307077.0,400586.0,400587.0,400588.0,403073.0,,1.0,11.0,11.0,11.0,11.0,,61.0,2.0
307080,,307116.0,,,,,,9.0,,,,,71.0,2.0
307081,,307115.0,,,,,,9.0,,,,,76.0,1.0
307082,,403070.0,,,,,,5.0,,,,,78.0,2.0
307118,307083.0,307138.0,,,,,1.0,8.0,,,,,65.0,1.0
307083,307118.0,307031.0,307085.0,,,,1.0,11.0,11.0,,,,59.0,2.0
307084,307085.0,,,,,,1.0,,,,,,65.0,1.0
307085,307084.0,,,,,,1.0,,,,,,59.0,2.0
307119,307086.0,307118.0,307120.0,306131.0,307068.0,307005.0,1.0,10.0,10.0,10.0,10.0,10.0,64.0,1.0
307086,307119.0,307083.0,307139.0,307048.0,307028.0,307107.0,1.0,10.0,10.0,10.0,10.0,10.0,58.0,2.0
307099,,307116.0,307112.0,,,,,5.0,6.0,,,,86.0,2.0
307087,307120.0,307009.0,,,,,1.0,9.0,,,,,60.0,2.0
308004,308036.0,308023.0,,,,,1.0,10.0,,,,,73.0,2.0
308005,308004.0,308063.0,308042.0,308036.0,308035.0,,1.0,11.0,11.0,11.0,11.0,,76.0,1.0
308006,308007.0,402211.0,403193.0,,,,1.0,5.0,5.0,,,,66.0,2.0
308010,308011.0,402212.0,402213.0,,,,1.0,6.0,5.0,,,,72.0,2.0
308011,308010.0,308042.0,308019.0,308070.0,,,1.0,11.0,11.0,5.0,,,72.0,1.0
308013,308014.0,308019.0,308101.0,302105.0,,,1.0,9.0,9.0,9.0,,,80.0,1.0
308014,308013.0,,,,,,1.0,,,,,,82.0,2.0
308015,,308056.0,308050.0,308006.0,,,,10.0,10.0,10.0,,,70.0,2.0
308016,308017.0,402360.0,,,,,1.0,5.0,,,,,71.0,1.0
308017,308016.0,403028.0,402362.0,402361.0,403294.0,402360.0,1.0,6.0,5.0,5.0,6.0,5.0,71.0,2.0
308019,308020.0,402217.0,306049.0,,,,1.0,,,,,,72.0,1.0
308020,308019.0,308034.0,308025.0,,,,1.0,,,,,,64.0,2.0
308021,308022.0,403120.0,403085.0,403334.0,403038.0,403002.0,1.0,11.0,11.0,11.0,11.0,11.0,69.0,1.0
308022,308021.0,308050.0,308006.0,308015.0,308098.0,308105.0,1.0,10.0,10.0,10.0,10.0,10.0,67.0,2.0
308063,308023.0,400169.0,402364.0,308042.0,,,1.0,5.0,6.0,11.0,,,74.0,1.0
308023,308063.0,400169.0,,,,,1.0,5.0,,,,,70.0,2.0
308064,308024.0,303102.0,308016.0,308079.0,308100.0,308101.0,1.0,10.0,10.0,10.0,10.0,10.0,62.0,1.0
308024,308064.0,403054.0,403104.0,,,,1.0,5.0,5.0,,,,59.0,2.0
308025,,308034.0,,,,,,10.0,,,,,68.0,2.0
308026,308027.0,302006.0,302047.0,308048.0,,,1.0,11.0,11.0,11.0,,,64.0,1.0
308028,308029.0,302069.0,302044.0,,,,1.0,10.0,11.0,,,,68.0,1.0
308029,308028.0,402220.0,,,,,1.0,6.0,,,,,66.0,2.0
308032,308033.0,308034.0,,,,,1.0,8.0,,,,,73.0,2.0
308033,308032.0,,,,,,1.0,,,,,,77.0,1.0
308034,308035.0,308025.0,403165.0,403166.0,403153.0,,1.0,10.0,5.0,5.0,5.0,,68.0,2.0
308035,308034.0,308032.0,308025.0,308020.0,308010.0,308015.0,1.0,9.0,10.0,10.0,10.0,10.0,72.0,1.0
308039,308038.0,,,,,,1.0,,,,,,62.0,1.0
308041,308040.0,308037.0,,,,,1.0,9.0,,,,,77.0,2.0
308043,308044.0,,,,,,1.0,,,,,,77.0,1.0
308044,308043.0,308103.0,308041.0,308050.0,,,1.0,9.0,9.0,9.0,,,77.0,2.0
308045,308046.0,308094.0,,,,,1.0,9.0,,,,,75.0,2.0
308046,308045.0,,,,,,1.0,,,,,,82.0,1.0
303102,308047.0,402370.0,402371.0,402369.0,,,1.0,5.0,5.0,5.0,,,66.0,1.0
308047,303102.0,403337.0,403143.0,403110.0,,,1.0,11.0,11.0,11.0,,,61.0,2.0
308048,308049.0,,,,,,1.0,,,,,,65.0,1.0
308049,308048.0,403346.0,,,,,1.0,5.0,,,,,63.0,2.0
308050,,,,,,,,,,,,,67.0,2.0
308051,,,,,,,,,,,,,80.0,2.0
308053,308054.0,403245.0,403246.0,,,,1.0,5.0,5.0,,,,78.0,2.0
308055,308068.0,400660.0,,,,,1.0,11.0,,,,,63.0,1.0
308057,,,,,,,,,,,,,84.0,2.0
308058,,,,,,,,,,,,,78.0,2.0
308059,308060.0,403330.0,,,,,1.0,5.0,,,,,75.0,1.0
308060,308059.0,400668.0,,,,,1.0,5.0,,,,,60.0,2.0
309055,,403004.0,309079.0,,,,,11.0,5.0,,,,62.0,2.0
309001,,400675.0,400674.0,400673.0,,,,5.0,5.0,5.0,,,72.0,2.0
309005,309006.0,400680.0,403258.0,400676.0,,,1.0,5.0,6.0,5.0,,,70.0,1.0
309006,309005.0,400679.0,400680.0,403259.0,,,1.0,5.0,5.0,6.0,,,69.0,2.0
309007,309008.0,309016.0,,,,,1.0,15.0,,,,,73.0,1.0
309008,309007.0,309038.0,309098.0,,,,1.0,10.0,10.0,,,,71.0,2.0
309010,,,,,,,,,,,,,80.0,1.0
309011,309012.0,309035.0,309044.0,,,,1.0,10.0,10.0,,,,63.0,2.0
309012,309011.0,,,,,,1.0,,,,,,69.0,1.0
309013,,309091.0,403311.0,403308.0,,,,5.0,5.0,5.0,,,78.0,2.0
309016,309015.0,403340.0,403339.0,402232.0,309101.0,309007.0,1.0,5.0,5.0,5.0,5.0,10.0,75.0,1.0
309017,309018.0,402378.0,,,,,1.0,11.0,,,,,80.0,1.0
309018,309017.0,402381.0,402380.0,402379.0,403324.0,403296.0,1.0,10.0,10.0,10.0,10.0,10.0,67.0,2.0
309057,,309037.0,309028.0,,,,,10.0,10.0,,,,67.0,2.0
309019,309020.0,400692.0,403293.0,400691.0,403279.0,403284.0,1.0,5.0,5.0,5.0,5.0,5.0,74.0,2.0
302087,,403131.0,403132.0,403133.0,402382.0,302110.0,,5.0,5.0,5.0,5.0,7.0,77.0,2.0
309028,309027.0,309006.0,309057.0,309037.0,309066.0,309094.0,1.0,4.0,10.0,10.0,10.0,10.0,66.0,2.0
309029,,309001.0,309045.0,,,,,10.0,10.0,,,,83.0,2.0
309031,309032.0,309004.0,,,,,1.0,10.0,,,,,68.0,2.0
309034,309033.0,309032.0,,,,,1.0,10.0,,,,,72.0,2.0
309035,309036.0,309044.0,309011.0,403326.0,,,1.0,10.0,10.0,10.0,,,63.0,2.0
309036,309035.0,403081.0,403238.0,403240.0,403177.0,,1.0,11.0,11.0,11.0,11.0,,69.0,1.0
309037,,309066.0,309057.0,309006.0,,,,10.0,10.0,10.0,,,71.0,2.0
309040,,,,,,,,,,,,,80.0,2.0
309041,309042.0,,,,,,1.0,,,,,,73.0,1.0
309042,309041.0,,,,,,1.0,,,,,,69.0,2.0
309064,,400718.0,304048.0,400717.0,309081.0,,,5.0,5.0,5.0,5.0,,70.0,2.0
309043,309044.0,,,,,,1.0,,,,,,70.0,1.0
309045,309046.0,309092.0,309103.0,,,,1.0,5.0,5.0,,,,75.0,2.0
309047,309048.0,,,,,,1.0,,,,,,72.0,1.0
309048,309047.0,402392.0,402391.0,,,,1.0,5.0,5.0,,,,68.0,2.0
309051,,309037.0,309057.0,309006.0,309028.0,,,9.0,10.0,10.0,9.0,,67.0,2.0
309052,,309096.0,309099.0,309097.0,309095.0,,,5.0,6.0,7.0,7.0,,85.0,2.0
309066,,309037.0,,,,,,10.0,,,,,79.0,2.0
310002,310003.0,310014.0,310016.0,310004.0,,,1.0,10.0,10.0,9.0,,,75.0,1.0
310003,310002.0,310021.0,310032.0,310008.0,310006.0,310007.0,1.0,11.0,11.0,10.0,9.0,9.0,75.0,2.0
310004,310007.0,310014.0,310062.0,310057.0,310005.0,310050.0,1.0,11.0,10.0,10.0,9.0,10.0,66.0,1.0
310005,310006.0,310004.0,310002.0,310050.0,310014.0,310061.0,1.0,9.0,9.0,10.0,10.0,9.0,78.0,1.0
310008,,310006.0,310012.0,310030.0,,,,9.0,9.0,9.0,,,72.0,2.0
310033,,310031.0,,,,,,11.0,,,,,85.0,2.0
310009,310010.0,310021.0,310012.0,,,,1.0,11.0,11.0,,,,76.0,2.0
310010,310009.0,310024.0,310616.0,,,,1.0,10.0,10.0,,,,75.0,1.0
310011,310012.0,310050.0,310010.0,310016.0,310060.0,310057.0,1.0,10.0,10.0,10.0,10.0,10.0,79.0,1.0
310012,310011.0,310031.0,310008.0,310013.0,310009.0,,1.0,9.0,10.0,10.0,10.0,,73.0,2.0
310013,,310021.0,310036.0,310022.0,,,,10.0,10.0,10.0,,,79.0,2.0
310014,310015.0,310039.0,310004.0,,,,1.0,10.0,10.0,,,,66.0,1.0
310015,310014.0,310032.0,310029.0,,,,1.0,10.0,10.0,,,,63.0,2.0
310018,,400263.0,400754.0,,,,,5.0,5.0,,,,81.0,2.0
310020,310019.0,,,,,,1.0,,,,,,74.0,2.0
310021,,310013.0,310022.0,310036.0,,,,9.0,9.0,9.0,,,74.0,2.0
310022,310023.0,310013.0,310021.0,310036.0,,,1.0,9.0,9.0,9.0,,,67.0,2.0
310023,310022.0,,,,,,1.0,,,,,,73.0,1.0
310024,,,,,,,,,,,,,76.0,1.0
310035,310025.0,,,,,,1.0,,,,,,65.0,1.0
310026,310027.0,310016.0,310011.0,310002.0,403186.0,310005.0,1.0,11.0,11.0,11.0,11.0,11.0,79.0,1.0
310027,310026.0,310030.0,310021.0,310008.0,310003.0,310029.0,1.0,10.0,10.0,10.0,10.0,10.0,76.0,2.0
310029,399004.0,310008.0,301035.0,310054.0,,,1.0,11.0,11.0,11.0,,,76.0,2.0
310030,,310027.0,310008.0,310012.0,,,,10.0,10.0,10.0,,,77.0,2.0
310036,,310013.0,310021.0,,,,,9.0,9.0,,,,80.0,2.0
310031,,310033.0,310013.0,310032.0,,,,10.0,10.0,10.0,,,88.0,2.0
310032,,400768.0,403262.0,403269.0,403256.0,,,5.0,5.0,5.0,5.0,,84.0,2.0
310037,,310059.0,310064.0,310009.0,,,,10.0,10.0,10.0,,,64.0,2.0
306159,,403354.0,,,,,,5.0,,,,,82.0,2.0
307102,306140.0,306026.0,306155.0,306130.0,306114.0,306016.0,1.0,10.0,10.0,10.0,10.0,10.0,61.0,1.0
302135,302137.0,,,,,,1.0,,,,,,72.0,1.0
302136,302132.0,403285.0,403237.0,,,,1.0,9.0,9.0,,,,59.0,1.0
305097,305095.0,403146.0,403149.0,403100.0,403150.0,306043.0,1.0,8.0,8.0,9.0,8.0,8.0,64.0,2.0
304065,,403203.0,403212.0,,,,,,,,,,62.0,2.0
306114,306121.0,,,,,,1.0,,,,,,61.0,1.0
